Rank,Club,Country,Level,Elo,From,To
None,Bradford,ENG,2,1428.89855957,1998-04-03,1998-04-04
None,Bradford,ENG,2,1438.27282715,1998-04-05,1998-04-11
None,Bradford,ENG,2,1428.24584961,1998-04-12,1998-04-13
None,Bradford,ENG,2,1419.23718262,1998-04-14,1998-04-16
None,Bradford,ENG,2,1425.48535156,1998-04-17,1998-04-19
None,Bradford,ENG,2,1423.72180176,1998-04-20,1998-04-25
None,Bradford,ENG,2,1410.37390137,1998-04-26,1998-05-03
None,Bradford,ENG,2,1396.71118164,1998-05-04,1998-05-13
None,Bradford,ENG,2,1401.18371582,1998-05-14,1998-08-08
None,Bradford,ENG,2,1392.65661621,1998-08-09,1998-08-12
None,Bradford,ENG,2,1393.2401123,1998-08-13,1998-08-15
None,Bradford,ENG,2,1387.58825684,1998-08-16,1998-08-23
None,Bradford,ENG,2,1391.15722656,1998-08-24,1998-08-26
None,Bradford,ENG,2,1391.31323242,1998-08-27,1998-08-28
None,Bradford,ENG,2,1386.56945801,1998-08-29,1998-08-31
None,Bradford,ENG,2,1397.65148926,1998-09-01,1998-09-08
None,Bradford,ENG,2,1393.37646484,1998-09-09,1998-09-12
None,Bradford,ENG,2,1393.94934082,1998-09-13,1998-09-15
None,Bradford,ENG,2,1391.26879883,1998-09-16,1998-09-16
None,Bradford,ENG,2,1390.57141113,1998-09-17,1998-09-17
None,Bradford,ENG,2,1391.16101074,1998-09-18,1998-09-20
None,Bradford,ENG,2,1407.98876953,1998-09-21,1998-09-26
None,Bradford,ENG,2,1416.3260498,1998-09-27,1998-09-29
None,Bradford,ENG,2,1425.8458252,1998-09-30,1998-09-30
None,Bradford,ENG,2,1429.70751953,1998-10-01,1998-10-01
None,Bradford,ENG,2,1426.05407715,1998-10-02,1998-10-03
None,Bradford,ENG,2,1433.00085449,1998-10-04,1998-10-09
None,Bradford,ENG,2,1443.34387207,1998-10-10,1998-10-17
None,Bradford,ENG,2,1434.05737305,1998-10-18,1998-10-20
None,Bradford,ENG,2,1451.22583008,1998-10-21,1998-10-21
None,Bradford,ENG,2,1454.03063965,1998-10-22,1998-10-22
